General Elements,,,Physical Elements,,,Logical Elements,,,,
start_date,projects,Logs when the project was started; allows user to track the status of a project (complete / incomplete) and allows the user to keep a record of the length of each project,DATE,,,,,NO,,
end_date,projects,Logs when the project was started; allows user to track the status of a project (complete / incomplete) and allows the user to keep a record of the length of each project,DATE,,,,,YES,"""In progress""",
comp_id,companies,Unique ID for each client / company; supports data integrity,INT,,0,PK,Unique,NO,,00000-99999
comp_name,companies,Name of company / client; makes it easier for a user to distinguish which company is associated with which project(s),VARCHAR,40,,,,NO,,
street,companies,Street address of company/client; allows Array to send any documentation to the company's mailing address,VARCHAR,75,,,,YES,NULL,
city,companies,City of a company's physical address; necessary component of a mailing address,VARCHAR,40,,,,YES,NULL,
state,companies,State of a company's physical address; necessary component of a mailing address,CHAR,2,,FK,,YES,NULL,2 character abbreviation defined in state validation table
zip,companies,ZIP code of a company's physical address; necessary component of a mailing address,INT,,,,,YES,NULL,*****
poc_id,point_of_contact,Unique ID for a point of contact representative assigned to each individual project; supports data integrity,INT,,0,PK,Unique,NO,,00000-99999
comp_id,point_of_contact,ID of the company associated with each point of contact; used to establish a one-to-many relationship between a company and its point(s) of contact,INT,,0,FK,,NO,,00000-99999
fname,point_of_contact,Allows user to access the first name of a point of contact representative on a particular project,VARCHAR,40,,,,NO,,
lname,point_of_contact,Allows user to access the first name of a point of contact representative on a particular project,VARCHAR,40,,,,NO,,
phone,point_of_contact,Provides a means of contact for the point of contact representative on each project,CHAR,14,,,,NO,,(***)-***-****
email,point_of_contact,Provides additional means of contact in case the POC can't be reached by phone,VARCHAR,75,,,,NO,,
"proj_id, poc_id",poc_project,Links the POC to their respective project(s) ,INT,,0,PK,Unique,NO,,00000-99999
poc_id,poc_project,Links the POC table to the junction table; needed in a many-to-many relationship,INT,,0,FK,,NO,,00000-99999
proj_id,poc_project,Links the projects table to the junction table; needed in a many-to-many relationship,INT,,0,FK,,NO,,00000-99999
"emp_id, proj_id",emp_project,Links the employee to their respective project(s),INT,,0,PK,Unique,NO,,00000-99999
proj_id,emp_project,Links the projects table to the junction table; needed in a many-to-many relationship,INT,,0,FK,,NO,,00000-99999
emp_id,emp_project,Links the employees table to the junction table; needed in a many-to-many relationship,INT,,0,FK,,NO,,00000-99999
timestamp_id,time_entries,"Allows user to access timestamps inputted by employees; needed to determine hours worked on a project, how many instructional hours an apprentice recieves, and how many work hours an employee puts in",INT,,0,PK,Unique,NO,,00000-99999
start_time,time_entries,Logs the time when an employees starts working on a project; necessary when calculating how many hours an employee worked on a project,TIMESTAMP,,,,,NO,,"Year, month, day, hours, minutes, seconds"
end_time,time_entries,Logs the time when an employees finishes working on a project; necessary when calculating how many hours an employee worked on a project,TIMESTAMP,,,,,NO,,"Year, month, day, hours, minutes, seconds"
approval_date,time_entries,Allows managers to confirm apprentice's logged hours; this keeps the time entries more accurate and gives more control to managers,TIMESTAMP,,,,,YES,"""Unapproved""","Year, month, day, hours, minutes, seconds"
entry_type,time_entries,Distinguishes between time spent giving/recieving instruction and time spent working on projects; helps to keep track of apprenticeship status and project status,VARCHAR,13,,,,NO,,"""Instructional"", ""Work"""
emp_id,time_entries,Tracks how many hours an employee works on a project by connecting their employee id,INT,,0,FK,,NO,,00000-99999
