General Elements,,,Physical Elements,,,,Logical Elements,,,,
Column Name,Parent Table,Description,Data Type,Length,Decimal Places,Notes,Key Type,Uniqueness,Supports Null,Default Value,Range of Values
projected_hours,projects,Denotes the estimated time a project will take to complete. Necessary for transparency and accountability.,smallint,,,unsigned,,no,no,0,
comp_id,companies,A unique identifier for clients. Integral for indexing and data integrity.,int,,,"auto_increment, unsigned",primary,yes,no,,
comp_name,companies,Name of the client. Necessary component for client identification,varchar,70,,,,yes,no,,
street_address,companies,Building number and road that client resides on. Necessary component of client's address.,varchar,100,,,,no,yes,,
city,companies,Metro area that the client resides in. Necessary component of client's address.,varchar,50,,,,no,no,,
state,companies,Cross references state table. Ensures data validation.,char,2,,,foreign,no,no,,"AK','AL','AR','AZ','CA','CO','CT','DC','DE','FL','GA','GU','HI','IA','ID', 'IL','IN','KS','KY','LA','MA','MD','ME','MH','MI','MN','MO','MS','MT','NC','ND','NE','NH','NJ','NM','NV','NY', 'OH','OK','OR','PA','PR','PW','RI','SC','SD','TN','TX','UT','VA','VI','VT','WA','WI','WV','WY'"
zip_code,companies,Postal code for the client. Necessary component of client's address.,char,5,,,,no,yes,,
emp_id,projects_employees,Cross references employees table. Creates relationship between the tables. Necessary component of composite key.,int,,,unsigned,"composite primary, foreign","cpk yes, fk no",no,,
proj_id,projects_employees,Cross references projects table. Creates relationship between the tables. Necessary component of composite key.,int,,,unsigned,"composite primary, foreign","cpk yes, fk no",no,,
user_id,projects_poc,Cross references point_of_contact table. Creates relationship between the tables. Necessary component of composite key.,int,,,unsigned,"composite primary, foreign","cpk yes, fk no",no,,
proj_id,projects_poc,Cross references projects table. Creates relationship between the tables. Necessary component of composite key.,int,,,unsigned,"composite primary, foreign","cpk yes, fk no",no,,
gender,gender,A unique identifier for sex of employee. Integral for indexing and data integrity.,varchar,10,,,primary,yes,no,,"male, female, non-binary"
role,role,A unique identifier for employee categories. Integral for indexing and data integrity.,varchar,10,,,primary,yes,no,,"apprentice, manager"
state,state,A unique identifier for region of residence. Integral for indexing and data integrity.,char,2,,,primary,yes,no,,"AK','AL','AR','AZ','CA','CO','CT','DC','DE','FL','GA','GU','HI','IA','ID', 'IL','IN','KS','KY','LA','MA','MD','ME','MH','MI','MN','MO','MS','MT','NC','ND','NE','NH','NJ','NM','NV','NY', 'OH','OK','OR','PA','PR','PW','RI','SC','SD','TN','TX','UT','VA','VI','VT','WA','WI','WV','WY'"
time_type,time_type,A unique identifier for work entry categories. Integral for indexing and data integrity.,varchar,13,,,primary,yes,no,,"instructional, work"
user_type,user_type,A unique identifier for entity categories. Integral for indexing and data integrity.,varchar,16,,,primary,yes,no,,"employee, point of contact"
